ID	SENTENCE_ID	YEAR	TEXT	GENRE	CLAUSE_TYPE	SUBJTOP-V	V-SUBJTOP	XP-V-SUBJTOP
54	1150.HOMILIUBOK.REL-SER,.1053	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
55	1150.HOMILIUBOK.REL-SER,.1056	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
56	1150.HOMILIUBOK.REL-SER,.1057	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
57	1150.HOMILIUBOK.REL-SER,.105	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
58	1150.HOMILIUBOK.REL-SER,.1065	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
59	1150.HOMILIUBOK.REL-SER,.1074	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
60	1150.HOMILIUBOK.REL-SER,.1078	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
61	1150.HOMILIUBOK.REL-SER,.1083	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
62	1150.HOMILIUBOK.REL-SER,.1087	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
63	1150.HOMILIUBOK.REL-SER,.1088	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
64	1150.HOMILIUBOK.REL-SER,.1091	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
65	1150.HOMILIUBOK.REL-SER,.1092	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
66	1150.HOMILIUBOK.REL-SER,.1098	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
67	1150.HOMILIUBOK.REL-SER,.1103	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
68	1150.HOMILIUBOK.REL-SER,.1110	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
69	1150.HOMILIUBOK.REL-SER,.1111	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
70	1150.HOMILIUBOK.REL-SER,.1112	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
71	1150.HOMILIUBOK.REL-SER,.1114	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
72	1150.HOMILIUBOK.REL-SER,.1117	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
73	1150.HOMILIUBOK.REL-SER,.1119	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
74	1150.HOMILIUBOK.REL-SER,.1124	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
75	1150.HOMILIUBOK.REL-SER,.1128	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
76	1150.HOMILIUBOK.REL-SER,.1129	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
77	1150.HOMILIUBOK.REL-SER,.1130	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
78	1150.HOMILIUBOK.REL-SER,.1135	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
79	1150.HOMILIUBOK.REL-SER,.1138	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
80	1150.HOMILIUBOK.REL-SER,.1141	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
81	1150.HOMILIUBOK.REL-SER,.1143	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
82	1150.HOMILIUBOK.REL-SER,.1145	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
83	1150.HOMILIUBOK.REL-SER,.1148	1150	HOMILIUBOK	REL	IP-MAT-SPE	1	0	0
84	1150.HOMILIUBOK.REL-SER,.1149	1150	HOMILIUBOK	REL	IP-MAT-SPE	1	0	0
85	1150.HOMILIUBOK.REL-SER,.1150	1150	HOMILIUBOK	REL	IP-MAT-SPE	1	0	0
86	1150.HOMILIUBOK.REL-SER,.1152	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
87	1150.HOMILIUBOK.REL-SER,.1156	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
88	1150.HOMILIUBOK.REL-SER,.1162	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
89	1150.HOMILIUBOK.REL-SER,.1166	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
90	1150.HOMILIUBOK.REL-SER,.1173	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
91	1150.HOMILIUBOK.REL-SER,.1174	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
92	1150.HOMILIUBOK.REL-SER,.1179	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
93	1150.HOMILIUBOK.REL-SER,.1184	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
94	1150.HOMILIUBOK.REL-SER,.1189	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
95	1150.HOMILIUBOK.REL-SER,.1193	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
96	1150.HOMILIUBOK.REL-SER,.1195	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
97	1150.HOMILIUBOK.REL-SER,.1196	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
98	1150.HOMILIUBOK.REL-SER,.1197	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
99	1150.HOMILIUBOK.REL-SER,.119	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
100	1150.HOMILIUBOK.REL-SER,.1200	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
101	1150.HOMILIUBOK.REL-SER,.1208	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
102	1150.HOMILIUBOK.REL-SER,.120	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
103	1150.HOMILIUBOK.REL-SER,.1216	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
104	1150.HOMILIUBOK.REL-SER,.1218	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
105	1150.HOMILIUBOK.REL-SER,.1219	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
106	1150.HOMILIUBOK.REL-SER,.1220	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
107	1150.HOMILIUBOK.REL-SER,.1221	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
108	1150.HOMILIUBOK.REL-SER,.1222	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
109	1150.HOMILIUBOK.REL-SER,.1225	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
110	1150.HOMILIUBOK.REL-SER,.1226	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
111	1150.HOMILIUBOK.REL-SER,.1228	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
112	1150.HOMILIUBOK.REL-SER,.1234	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
113	1150.HOMILIUBOK.REL-SER,.1235	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
114	1150.HOMILIUBOK.REL-SER,.1239	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
115	1150.HOMILIUBOK.REL-SER,.1245	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
116	1150.HOMILIUBOK.REL-SER,.1246	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
117	1150.HOMILIUBOK.REL-SER,.1254	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
118	1150.HOMILIUBOK.REL-SER,.1257	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
119	1150.HOMILIUBOK.REL-SER,.1259	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
120	1150.HOMILIUBOK.REL-SER,.1260	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
121	1150.HOMILIUBOK.REL-SER,.1261	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
122	1150.HOMILIUBOK.REL-SER,.1263	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
123	1150.HOMILIUBOK.REL-SER,.1264	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
124	1150.HOMILIUBOK.REL-SER,.1265	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
125	1150.HOMILIUBOK.REL-SER,.1268	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
126	1150.HOMILIUBOK.REL-SER,.1270	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
127	1150.HOMILIUBOK.REL-SER,.1273	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
128	1150.HOMILIUBOK.REL-SER,.1275	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
